,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,pid,sid
0,448.921200037,1096.9770999,40.8440999985,0.00209999084473,0.111500024796,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0000,rp.session.radical.mingtha.017033.0007
1,274.998300076,1274.11059999,40.8440999985,0.00209999084473,0.111500024796,exp1,phys.uconn.edu,pilot.0001,rp.session.radical.mingtha.017033.0007
2,217.17930007,1330.81699991,40.8440999985,0.00209999084473,0.111500024796,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0007
3,220.585400105,1321.01849985,40.8440999985,0.00209999084473,0.111500024796,exp1,ucsd.edu,pilot.0003,rp.session.radical.mingtha.017033.0007
4,171.301200151,4665.84200001,32.665599823,0.00190019607544,0.115899801254,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0000,rp.session.radical.mingtha.017033.0008
5,125.983500004,4708.05290008,32.665599823,0.00190019607544,0.115899801254,exp1,ucsd.edu,pilot.0001,rp.session.radical.mingtha.017033.0008
6,172.298600197,4668.06949997,32.665599823,0.00190019607544,0.115899801254,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0008
7,172.400000095,4670.07949996,32.665599823,0.00190019607544,0.115899801254,exp1,icecube.wisc.edu,pilot.0003,rp.session.radical.mingtha.017033.0008
8,161.555799961,2591.18600011,30.7743000984,0.00219988822937,0.104099988937,exp1,icecube.wisc.edu,pilot.0000,rp.session.radical.mingtha.017033.0009
9,211.963200092,2544.90089989,30.7743000984,0.00219988822937,0.104099988937,exp1,b7c6cf8a3ae1.172.19.0.3,pilot.0001,rp.session.radical.mingtha.017033.0009
10,153.793900013,2601.05780005,30.7743000984,0.00219988822937,0.104099988937,exp1,ucsd.edu,pilot.0002,rp.session.radical.mingtha.017033.0009
11,235.876600027,2517.97049999,30.7743000984,0.00219988822937,0.104099988937,exp1,phys.uconn.edu,pilot.0003,rp.session.radical.mingtha.017033.0009
12,135.326200008,5932.70679998,25.5676000118,0.00209999084473,0.114300012589,exp1,iu.edu,pilot.0000,rp.session.radical.mingtha.017034.0002
13,180.526299953,5894.63369989,25.5676000118,0.00209999084473,0.114300012589,exp1,campuscluster.illinois.edu,pilot.0001,rp.session.radical.mingtha.017034.0002
14,231.24119997,5838.89980006,25.5676000118,0.00209999084473,0.114300012589,exp1,panther.net,pilot.0002,rp.session.radical.mingtha.017034.0002
15,187.415199995,5881.72230005,25.5676000118,0.00209999084473,0.114300012589,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0002
16,209.106800079,1536.01349998,27.1440999508,0.00219988822937,0.117300033569,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0003
17,137.844900131,1609.38969994,27.1440999508,0.00219988822937,0.117300033569,exp1,iu.edu,pilot.0001,rp.session.radical.mingtha.017034.0003
18,173.405200005,1571.71450019,27.1440999508,0.00219988822937,0.117300033569,exp1,campuscluster.illinois.edu,pilot.0002,rp.session.radical.mingtha.017034.0003
19,229.373600006,1522.0874002,27.1440999508,0.00219988822937,0.117300033569,exp1,panther.net,pilot.0003,rp.session.radical.mingtha.017034.0003
20,204.359799862,3189.27520013,26.4455001354,0.0019998550415,0.120000123978,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0004
21,171.872200012,3221.76279998,26.4455001354,0.0019998550415,0.120000123978,exp1,iu.edu,pilot.0001,rp.session.radical.mingtha.017034.0004
22,170.102599859,3223.53240013,26.4455001354,0.0019998550415,0.120000123978,exp1,campuscluster.illinois.edu,pilot.0002,rp.session.radical.mingtha.017034.0004
23,230.010699987,3163.6243,26.4455001354,0.0019998550415,0.120000123978,exp1,panther.net,pilot.0003,rp.session.radical.mingtha.017034.0004
24,207.109400034,2137.69390011,26.2370998859,0.00209999084473,0.134700059891,exp1,phys.uconn.edu,pilot.0000,rp.session.radical.mingtha.017034.0005
25,246.176399946,2098.6269002,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017034.0005
26,237.510400057,2107.29290009,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017034.0005
27,247.587599993,2097.21570015,26.2370998859,0.00209999084473,0.134700059891,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0005
28,177.04129982,3201.49070001,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0000,rp.session.radical.mingtha.017034.0006
29,192.647300005,3182.76889992,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0001,rp.session.radical.mingtha.017034.0006
30,257.352399826,3123.19440007,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0002,rp.session.radical.mingtha.017034.0006
31,207.142299891,3172.39689994,25.5355000496,0.00209999084473,0.121799945831,exp1,fnal.gov,pilot.0003,rp.session.radical.mingtha.017034.0006
32,203.943300009,1637.41070008,25.5981998444,0.00220012664795,0.102999925613,exp1,mwt2.org,pilot.0000,rp.session.radical.mingtha.017035.0003
33,269.20080018,1572.15319991,25.5981998444,0.00220012664795,0.102999925613,exp1,mwt2.org,pilot.0001,rp.session.radical.mingtha.017035.0003
34,214.716500044,1626.63750005,25.5981998444,0.00220012664795,0.102999925613,exp1,mwt2.org,pilot.0002,rp.session.radical.mingtha.017035.0003
